,id,name,license_id,address_number,address_street_name,ssn,person_id,transcript
49,34722,Santiago Scammahorn,468030,510,Antrican Ave,772567096,34722,"again, sitting on a branch of a tree.
"
50,53269,Antonietta Threats,255588,2647,Lherault St,647451500,53269,"This question the Dodo could not answer without a great deal of thought,
"
51,56580,Charlene Lewellyn,470455,2140,South Russell Blvd,608108328,56580,"
"
52,89123,Jed Yuki,677787,1696,White Cornus Circle,108335561,89123,"‘for I can’t understand it myself to begin with; and being so many
"
53,50176,Jeremy Corraro,533877,1314,Tallawalla Blvd,418716269,50176,"
"
54,48656,Yun Donathan,539486,1602,Prestolee Ave,145798496,48656,"‘That WAS a narrow escape!’ said Alice, a good deal frightened at the
"
55,64769,Regena Foucault,477668,2761,Ravenslea St,283311387,64769,"anxiously over his shoulder as he spoke, and then raised himself upon
"
56,11161,Emmett Labrec,556632,2494,Goesel Blvd,598689010,11161,"with such a puzzled expression that she could not help bursting out
"
57,49234,Samual Kocher,298531,1171,Round Swamp Rd,398602311,49234,"sure I don’t want to stay in here any longer!’
"
58,50931,Lashawnda Mentz,396405,545,Eckert Way,775124491,50931,"‘We indeed!’ cried the Mouse, who was trembling down to the end of his
"
59,34473,Olen Langholz,672155,1891,Farmhill Blvd,802388633,34473,"
"
60,16858,Marty Sortland,405098,2550,Langness Ave,982467150,16858,"Alice said nothing: she had never been so much contradicted in her life
"
61,11470,Brian Deleonardis,515963,1925,Saint Brendan St,427368785,11470,"thought: still it had VERY long claws and a great many teeth, so she
"
62,71632,Kallie Kurtich,494400,1992,N Seminole St,593222765,71632,"
"
63,73315,Shawna Demauri,207090,936,Maximillian St,335781920,73315,"‘The first thing I’ve got to do,’ said Alice to herself, as she wandered
"
64,93531,Elke Nogoda,238665,40,Piney Branch Circle,724501008,93531,"take me for a dunce? Go on!’
"
65,41334,Tom Nutting,281605,635,Jesson Rd,174670741,41334," Would not, could not, would not, could not, could not join the dance.
"
66,20640,Gil Radabaugh,831370,322,Glen Gate Rd,232400356,20640,"myself about you: you must manage the best way you can;--but I must be
"
67,28217,Nathanial Toten,546782,343,Burlington Mall Circle,604474319,28217,"And with that she began nursing her child again, singing a sort of
"
68,33944,Andrea Schumpert,366393,2544,Ightham St,196649285,33944,"
"
69,88952,Valentine Menez,208753,1286,De Chene Dr,610052475,88952,"themselves flat upon their faces. There was a sound of many footsteps,
"
70,68352,Lonnie Schoessow,187680,2450,Hope Park Way,269547032,68352,"very little! Besides, SHE’S she, and I’m I, and--oh dear, how puzzling
"
71,84318,Javier Belliveau,560838,3540,Saltwater Way,799907195,84318,"time.) ‘You’re nothing but a pack of cards!’
"
72,30771,Lovie Dion,158457,2999,Lomand Way,403150832,30771,"
"
73,82643,Deedee Hoffee,714723,3261,Cummington Rd,736504468,82643,"
"
74,68787,Allison Geyman,256631,3480,Gowrie Blvd,613869273,68787,"
"
75,67501,Mike Viker,544978,1649,Fara Way,218506542,67501,"themselves.”’
"
76,69482,Joann Praino,540949,1528,Toongarah Rd,909005625,69482,"‘Then it ought to be Number One,’ said Alice.
"
77,47740,Shemeka Riss,322534,2726,Hemingford Circle,207603125,47740,"a deal too flustered to tell you--all I know is, something comes at me
"
78,49342,Marlin Honey,465992,2346,W Emerson St,752726603,49342,"
"
79,97362,Nadene Monsky,958607,41,Laurel Grove Blvd,499953135,97362,"
"
80,18108,Lue Mccole,666680,2097,S Eastern Ave,972294381,18108,"‘ARE you to get in at all?’ said the Footman. ‘That’s the first
"
81,44776,Kasey Weikal,267084,683,Gayhouse Dr,828936324,44776,"King put on his spectacles and looked anxiously round, to make out who
"
82,11062,Rivka Chadwell,587839,1327,Tovito Blvd,204256047,11062,"
"
83,99106,Marisa Woytek,997909,3244,Ockwells St,472242942,99106,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
84,93928,Sook Alecca,351339,1647,Delta Queen Ave,303569421,93928,"
"
85,56334,Corazon Mikhaiel,509083,664,Country School Dr,193001141,56334,"and was just going to leave the room, when her eye fell upon a little
"
86,76797,Rafael Marohnic,616627,2720,Klengel Dr,924716728,76797,"drawing of a muchness?’
"
87,62806,Gilbert Bolian,727935,2955,Stychens Rd,923325583,62806,"
"
88,91893,Tawana Vaccarino,309920,3778,Stebbins Way,974285786,91893,"mice in the air, I’m afraid, but you might catch a bat, and that’s very
"
89,36669,Hortencia Cawley,948313,923,North Avondale Rd,721603069,36669,"‘A fine day, your Majesty!’ the Duchess began in a low, weak voice.
"
90,27485,Christoper Kuhr,960625,1152,Pumpkin Pine Blvd,485209097,27485,"
"
91,85272,Belle Denby,906344,2096,Helden Way,649144940,85272,"the Lizard in head downwards, and the poor little thing was waving its
"
92,68219,Franklyn Nisonger,410494,916,Langwith Way,991248906,68219,"as she spoke. (The unfortunate little Bill had left off writing on his
"
93,68458,Ngoc Deida,526255,1447,East Meeker Way,657491055,68458,"‘Which is just the case with MINE,’ said the Hatter.
"
94,96266,Keneth Skillman,181274,1579,Marina Court Way,931099776,96266,"
"
95,78795,Jame Kunishige,948146,1053,South Peck St,318387593,78795,"came upon a neat little house, on the door of which was a bright brass
"
96,35311,Evangelina Leitman,340125,2899,Casher Ave,719005872,35311,"    Why, I do it again and again.’
"
97,52297,Sharyl Spanfellner,401413,3112,Fathom Blvd,259742116,52297,"         YOU.--Come,
"
98,60886,Elijah Mclane,961742,3403,Smyth Blvd,135010468,60886,"then, when you’ve cleared all the jelly-fish out of the way--’
"
99,41914,Berta Muraro,606909,815,Alp Dr,505167720,41914,"it trot away quietly into the wood. ‘If it had grown up,’ she said
"
100,22369,Melanie Ram,897074,1412,Brunner Circle,397205889,22369,"thinking of?’
"
101,25814,Cyrstal Holtry,473133,3249,Walk Blvd,196497508,25814,"‘To begin with,’ said the Cat, ‘a dog’s not mad. You grant that?’
"
102,95491,Nick Bardos,337520,1471,Holles Rd,578835001,95491,"‘you shouldn’t have put it in with the bread-knife.’
"
103,36563,Cornell Quagliano,736198,3209,S Burley Dr,666668795,36563,"‘You are not attending!’ said the Mouse to Alice severely. ‘What are you
"
104,89343,Ivan Vanfossan,286303,2976,Heartfields Rd,413664596,89343,"them, they set to work very diligently to write out a history of the
"
105,14532,Yelena Manecke,187586,1933,Goodhue Blvd,796830670,14532,"
"
106,67045,Nestor Gins,157431,3554,Ross Arnold St,228335964,67045,"
"
107,97245,Lashanda Digrazia,874202,116,Bausum Blvd,854129322,97245,"sea, some children digging in the sand with wooden spades, then a row
"
108,83673,Marcell Besherse,689569,1811,Kennett Circle,801624964,83673,"‘Yes, it IS his business!’ said Five, ‘and I’ll tell him--it was for
"
109,55804,Spencer Heard,352655,3474,Saladine Ave,416190243,55804,"leading right into it. ‘That’s very curious!’ she thought. ‘But
"
110,84819,Jack Schug,847218,1937,Fitton Hill Ave,819032991,84819,"Alas! it was too late to wish that! She went on growing, and growing,
"
111,39426,Noe Locascio,148655,381,Overly Dr,832050151,39426,"
"
112,54867,Reed Malecha,651018,2871,Bellvista Dr,104723130,54867,"‘Digging for apples, indeed!’ said the Rabbit angrily. ‘Here! Come and
"
113,29338,Avery Taran,478075,2393,Kelvedon Hall Way,167104194,29338,"that--only the March Hare said--’
"
114,60974,Adrianna Camm,777235,3082,East Kimber Ave,656581433,60974,"‘They couldn’t have done that, you know,’ Alice gently remarked; ‘they’d
"
115,36829,Carlton Meli,478769,348,Whispering Pine St,101325996,36829,"a little pattering of footsteps in the distance, and she looked up
"
116,93699,Daren Ruegsegger,552530,1730,Niemeyer Blvd,509370844,93699,"
"
117,38006,Alva Laughead,630006,850,Autumncrest Rd,632267899,38006,"   A secret, kept from all the rest,
"
118,49286,Elden Vinall,594461,278,Plashet Grove  Green St,928487505,49286,"then a voice she had never heard before, ‘Sure then I’m here! Digging
"
119,68586,Augustine Digsby,990336,2283,Padgett Dr,340797778,68586,"
"
120,42818,Darius Woolems,744761,703,Moryan Rd,966113491,42818,"
"
121,12378,Tom Tuning,226283,1228,Bendmore Circle,773834611,12378,"
"
122,65815,Stacey Holweger,640797,3180,Grottoes Dr,800979952,65815,"It’s enough to drive one crazy!’
"
123,22085,Lupe Sazama,715622,2755,Drumard Ave,243867216,22085,"
"
124,68889,Bianca Dubicki,643427,3216,Idlewood Ave,744510077,68889,"of being all alone here!’
"
125,92692,Giovanni Mcgrotha,773861,3896,Haseco Blvd,926129188,92692,"In another moment down went Alice after it, never once considering how
"
126,65661,Fritz Trivett,929637,3604,Stevenson Rd,781212493,65661,"I THINK I can kick a little!’
"
127,67825,Celesta Haifley,394369,1148,How Green Circle,984166659,67825,"faces, so that they couldn’t see it?’ So she stood still where she was,
"
128,57774,Napoleon Fanatia,777125,1753,Dona Blvd,475042931,57774,"the place of the March Hare. The Hatter was the only one who got any
"
129,22894,Beatriz Beedy,363907,2606,Caedigan Blvd,606631815,22894,"‘With extras?’ asked the Mock Turtle a little anxiously.
"
130,58039,Jamison Kisor,583749,2755,Pikes Blvd,771272724,58039,"remembered that she still held the pieces of mushroom in her hands, and
"
131,26560,Jessi Paguirigan,568510,3746,East Blaine Circle,980007763,26560,"croquet-ground.
"
132,37295,Gertrud Frisell,498285,1257,Roland St,272490647,37295,"‘I’m a poor man, your Majesty,’ the Hatter began, in a trembling voice,
"
133,24633,Karl Yacoub,736885,1621,Charington Circle,964129479,24633,"and yawned once or twice, and shook itself. Then it got down off the
"
134,57922,Antione Duncan,598339,3537,Associated Ave,360136676,57922,"‘I do,’ Alice hastily replied; ‘at least--at least I mean what I
"
135,38822,Toney Hayn,664055,3231,Hogg End Rd,678029699,38822,"led into the garden. Then she went to work nibbling at the mushroom (she
"
136,26042,Walton Fambrough,843241,1931,Bethal Circle,976710685,26042,"‘Then it ought to be Number One,’ said Alice.
"
137,26673,Monica Berland,951508,3224,Bare Island Rd,786993194,26673,"
"
138,15361,Davis Halima,194594,3000,Moormead Rd,311562977,15361,"on.’
"
139,12665,Victoria Sutulovich,200692,344,Maciver Dr,244780904,12665,"uncomfortably sharp chin. However, she did not like to be rude, so she
"
140,96985,Brenton Sobotka,967345,368,Melborne St,907688242,96985,"nearly out of sight, he said in a deep voice, ‘What are tarts made of?’
"
141,60368,Demetrius Heywood,819547,289,Limmer Way,786317458,60368,"
"
142,64955,Milton Wittry,205009,2103,Yettner Rd,574485571,64955,"This piece of rudeness was more than Alice could bear: she got up in
"
143,56902,Duncan Rydberg,978473,33,New Adel St,297055403,56902,"know why it’s called a whiting?’
"
144,54218,Clinton Wade,950276,1155,Capehart Way,294039567,54218,"as “I sleep when I breathe”!’
"
145,43066,Bud Ranft,643856,3549,Kentwal Blvd,954250300,43066,"
"
146,16959,Lyla Keels,908765,2061,James R Rakow Ave,939934683,16959,"
"
147,41966,Temple Groen,421256,520,Hillfoot St,247507113,41966,"
"
148,55484,Jaquelyn Doris,800702,152,Maves Dr,375696423,55484,"Then they all crowded round her once more, while the Dodo solemnly
"
149,95621,Lavonna Minto,219221,2037,Gold Dust Blvd,196743671,95621,"of the cattle in the distance would take the place of the Mock Turtle’s
"
150,80651,Waneta Wellard,119490,996,Patricia Way,726208189,80651,"
"
151,41829,Bibi Polakoff,172094,3465,Gospel Union Blvd,347551112,41829,"
"
152,67630,Lorie Stroud,367228,1998,North Williamson Rd,139743281,67630,"fear they should forget them before the end of the trial.’
"
153,44199,Cecelia Brackin,136024,1455,Rotherwood Way,765171686,44199,"
"
154,11522,Joy Dufford,771507,1317,Rose Hatch Way,417156565,11522,"
"
155,20933,Lucien Muehlman,557256,2953,Koorine Circle,439850785,20933,"
"
156,59678,Latesha Maroni,549678,3583,Edith Holmes Rd,323066044,59678,"‘I said pig,’ replied Alice; ‘and I wish you wouldn’t keep appearing and
"
157,35613,Antonio Valliant,197418,2986,Paxman Rd,776872913,35613,"It’s enough to drive one crazy!’
"
158,71673,Roslyn Weikel,681227,3695,Hollowside Circle,560631215,71673,"(IF you don’t know what a Gryphon is, look at the picture.) ‘Up, lazy
"
159,87057,Rob Vrazel,216706,3044,Rydell Rd,728923382,87057,"
"
160,50862,Ellis Loftman,177827,2066,Old Hillary Circle,303379705,50862,"‘Of course not,’ said the Mock Turtle: ‘why, if a fish came to ME, and
"
161,69103,Leonardo Thackrey,378124,3262,Rancho Silva Ave,187255148,69103,"
"
162,11120,Shane Cichonski,626113,332,Hascombe Way,703857374,11120,"down in a large arm-chair at one end of the table.
"
163,94527,Roberto Tufnell,902776,197,Cock Green Circle,325959271,94527,"blow with its head, it WOULD twist itself round and look up in her face,
"
164,96937,Dee Millings,300070,79,San Luis Rey Blvd,106649311,96937,"            cause,
"
165,82144,Mason Cutter,727312,2304,Riffhams Ave,566105781,82144,"
"
166,97186,Terina Piel,838459,2734,S Bragg St,829355458,97186,"for any lesson-books!’
"
167,76763,Jewel Mercer,944277,1838,Castelton Rd,774121055,76763,"
"
168,18034,Robyn Tamburrino,502900,697,Dougan Ave,328648242,18034,"
"
169,12347,Omar Evins,470407,3703,E Grassy Sprain Rd,584228988,12347,"‘Hadn’t time,’ said the Gryphon: ‘I went to the Classics master, though.
"
170,78440,Ozie Kasal,784126,3648,S Copper Beach Way,141994651,78440,"‘The lobsters!’ shouted the Gryphon, with a bound into the air.
"
171,57215,Renae Majkut,686294,1064,Steepwood St,262275122,57215,"Alice.
"
172,48233,Guy Stiers,723712,3633,Sweeney Rd,323045577,48233,"Suddenly she came upon a little three-legged table, all made of solid
"
173,18661,Jonell Koeller,615766,3010,Ellege St,696642645,18661,"led into the garden. Then she went to work nibbling at the mushroom (she
"
174,78861,Kelvin Kissler,145776,2894,Edgepark Ave,485519558,78861,"ear and left foot, so as to prevent its undoing itself,) she carried
"
175,35409,Georgina Derian,540398,1999,Franklin Canyon Circle,577036891,35409,"it to make it stop.
"
176,81641,Crista Juedes,316994,1009,Pleasant Park Dr,178202115,81641,"Forty-two. ALL PERSONS MORE THAN A MILE HIGH TO LEAVE THE COURT.’
"
177,36560,Dustin Hosea,896693,2660,Cedarhill Circle,577136732,36560,"
"
178,96710,Evelyne Volner,698646,3086,Honey Hill Dr,626598169,96710,"anxiously round to see if he would deny it too: but the Dormouse denied
"
179,25872,Carl Culkin,328616,1247,Grady Circle,141107780,25872,"   ‘In my youth,’ said his father, ‘I took to the law,
"
180,88966,Raul Eads,570927,2066,Franklin Ave,764132739,88966,"like them raw.’
"
181,73801,Kenny Petigny,762421,1900,Swallow Rock Circle,580816677,73801,"‘How queer it seems,’ Alice said to herself, ‘to be going messages for
"
182,12007,Georgette Shetz,339341,1212,Skyport Ave,423298667,12007,"‘We had the best of educations--in fact, we went to school every day--’
"
183,20826,Carlee Dostie,295358,2479,Willow Cresent Way,588543589,20826,"Then the Queen left off, quite out of breath, and said to Alice, ‘Have
"
184,90133,Russ Milz,112927,3568,Carrana Circle,846606089,90133,"
"
185,50045,Beula Shonk,318497,2329,Stahlway Dr,501921548,50045,"However, everything is queer to-day.’
"
186,91755,Skye Ordner,401016,2750,Glen Gary Ave,485713061,91755,"
"
187,40307,Gerry Correro,592299,2795,Krause Rd,583537893,40307,"
"
188,86677,Celsa Edling,790637,3696,W Marshall Ave,174296247,86677,"
"
189,19333,Sammy Broner,927594,1537,Lairds Landing Way,753611041,19333,"
"
190,57096,Guillermo Schoppert,655163,1815,Laurel Branch Ave,335944860,57096,"
"
191,80663,Maxwell Miyamoto,562732,226,Bottom Pond Ave,584230621,80663,"in a natural way.
"
192,93892,Chi Thetford,989414,3659,Old Right Dr,387602340,93892,"‘Certainly not!’ said Alice indignantly.
"
193,66003,Claretta Kuszlyk,672477,3192,Longmere Circle,463362215,66003,"
"
194,43382,Roseline Mcclaran,551069,1128,St. Leonards Dr,956428647,43382,"time round, she came upon a low curtain she had not noticed before, and
"
195,46344,Rosaline Brouillard,333519,978,Shenton Rd,928237047,46344,"told me he was going a journey, I should say “With what porpoise?”’
"
196,92946,Johana Uoy,545734,84,N Lakeside Ave,382343949,92946,"‘And that’s the jury-box,’ thought Alice, ‘and those twelve creatures,’
"
197,56269,Junior Krason,256604,983,Camargo Way,866382414,56269,"cupboards and book-shelves; here and there she saw maps and pictures
"
198,82480,Donnie Zepka,935624,3462,Hage Dr,927082089,82480,"      mouse to the
"
199,19360,Brain Netolicky,640818,1828,Piccard St,588298943,19360,"‘Exactly so,’ said the Hatter: ‘as the things get used up.’
"
200,74485,Keshia Seib,725518,2176,Hayley Blvd,784875677,74485,"liked, so that it was not easy to know when the race was over. However,
"
201,99486,Trena Verlotte,925152,1790,Tog Blvd,464016316,99486,"Alice thought the whole thing very absurd, but they all looked so grave
"
202,84113,Mitch Fossett,895050,1218,Trowtree Way,476746137,84113,"make THEIR eyes bright and eager with many a strange tale, perhaps even
"
203,66847,Clare Drehmer,850053,457,Genualdi Rd,279101311,66847,"Alice said nothing; she had sat down with her face in her hands,
"
204,17537,Kylie Hatler,443828,1769,Ballarat Blvd,710118708,17537,"
"
205,53053,Fay Oravetz,127412,1426,Sandi St,863278094,53053,"witness.’ And he added in an undertone to the Queen, ‘Really, my dear,
"
206,69503,Dave Maffucci,461890,1774,Daleham Way,903208154,69503,"
"
207,33768,Rich Cassatt,592360,2264,Highdales Dr,649946805,33768,"The Duchess took her choice, and was gone in a moment.
"
208,45879,Jame Kogan,677280,1735,Arutas Blvd,563865286,45879,"hastily.
"
209,46568,Elton Agredano,727872,2126,Vogay St,419507489,46568,"
"
210,46132,Jonna Inoue,879679,1521,Rustic Hill Ave,102088059,46132,"her life; it was all ridges and furrows; the balls were live hedgehogs,
"
211,83927,Mitch Angelo,179844,3350,Vista Point Circle,675333510,83927,"rather a handsome pig, I think.’ And she began thinking over other
"
212,68038,Raquel Traweek,883793,3729,W Gaslight Square Way,223003201,68038,"
"
213,83519,Genaro Wuori,242870,1758,W Lancelot Rd,651804524,83519,"
"
214,95601,Rene Gaeth,814546,3757,El Chorlito Blvd,536588101,95601,"
"
215,42073,Barrie Okoli,601858,557,Pudsey Way,974481412,42073,"When the procession came opposite to Alice, they all stopped and looked
"
216,12855,Dave Riverman,470640,808,Lake Landing Way,380551835,12855,"to be done, I wonder?’ As she said this, she came suddenly upon an open
"
217,45876,Dong Redhouse,922734,1139,Leighfield Valley St,463470047,45876,"‘Anything you like,’ said the Footman, and began whistling.
"
218,63864,Anette Nader,732848,3276,Orchard View St,964107207,63864,"‘I’ve tried the roots of trees, and I’ve tried banks, and I’ve tried
"
219,19825,Willian Menjiva,130511,108,N Marsha Way,949705788,19825,"looking for it, while the rest of the party went back to the game.
"
220,43966,Madonna Osinski,391133,162,Trawalla Ave,489101338,43966,"‘Yes!’ shouted Alice.
"
221,77085,Garnett Deblieck,565734,2381,West Selby St,804818166,77085,"growing, and she was quite surprised to find that she remained the same
"
222,15046,Kirby Bonnell,148175,570,Windhaven Rd,892320406,15046,"a doze; but, on being pinched by the Hatter, it woke up again with
"
223,55923,Karl Verlinden,220527,3136,Glengoin Dr,982366822,55923,"all. I needn’t be afraid of them!’
"
224,40590,Daphne Kevorkian,930662,2474,Southeast Lake Youngs Blvd,383850479,40590,"‘Swim after them!’ screamed the Gryphon.
"
225,16328,Tajuana Greulich,211290,715,Coonawarra Blvd,516213330,16328,"‘Mary Ann! Mary Ann!’ said the voice. ‘Fetch me my gloves this moment!’
"
226,14973,Sunshine Hummons,799086,2624,Mamaroneck Rd,115902249,14973,"added the Gryphon; and then they both sat silent and looked at poor
"
227,44736,Gia Pauza,654525,791,Ottowa Dr,782011464,44736,"
"
228,69615,Lavonne Gonsalves,474983,1724,Luce Creek Way,647499500,69615,"remained some time after the rest of it had gone.
"
229,45435,Gary Rogacki,837337,1148,West Jennifer Circle,868594306,45435,"they walked off together.
"
230,67292,Renita Roperto,801041,625,Franklin Ave,894442480,67292,"
"
231,48320,Lincoln Bonde,241914,1029,Old Bass Lake St,605151033,48320,"‘Perhaps it hasn’t one,’ Alice ventured to remark.
"
232,88712,Yetta Oliven,171841,3482,Casa Mia Circle,225489023,88712,"
"
233,61768,Shona Amann,929503,1049,Thurwachter Ave,896245623,61768,"
"
234,98814,Olive Stonich,737740,3950,Elene St,522426931,98814,"hastily, for the White Rabbit cried out, ‘Silence in the court!’ and the
"
235,37279,Valrie Tyms,487126,743,Brite Way,420862080,37279,"
"
236,59915,Colby Grinnan,897520,643,Consfield St,718383234,59915,"listen, the whole place around her became alive with the strange creatures
"
237,90434,Jeanene Puchalla,192495,1863,Henry Lawson Ave,432897561,90434,"There was not a moment to be lost: away went Alice like the wind, and
"
238,76632,In Dalke,230931,683,Wythburne Circle,299089685,76632,"‘You couldn’t have wanted it much,’ said Alice; ‘living at the bottom of
"
239,83356,Ezequiel Blogg,436303,45,Colwyn Dr,927215555,83356,"This was such a new idea to Alice, that she was quite silent for a
"
240,32377,Kellye Encino,108108,1019,Summit School Dr,493465235,32377,"
"
241,10152,Shanita Grigaliunas,206023,3056,Tarada St,659203754,10152,"hand again, and made another snatch in the air. This time there were
"
242,79752,Jae Poyser,968692,3961,N Griffith Ave,344801743,79752,"‘Never!’ said the Queen furiously, throwing an inkstand at the Lizard
"
243,32085,Inocencia Stalder,293580,1110,West Common Way,267814353,32085,"without a cat! It’s the most curious thing I ever saw in my life!’
"
244,25642,Ernie Mehalic,267924,888,Lincoln Hills St,921211957,25642,"‘Not a bit,’ said the Caterpillar.
"
245,20946,Virginia Siren,972515,3359,Ruggles Ave,254728977,20946,"in the middle, being held up by two guinea-pigs, who were giving it
"
246,42762,So Hovda,286806,699,Balfern Rd,182462857,42762,"trouble, you know, as we needn’t try to find any. And yet I don’t know,’
"
247,40449,Fumiko Hodak,341997,3456,Dosoris Dr,167122272,40449,"which the wretched Hatter trembled so, that he shook both his shoes off.
"
248,32449,Taina Palsgrove,636103,2878,National Park Ave,496932246,32449,"‘If you knew Time as well as I do,’ said the Hatter, ‘you wouldn’t talk
"
249,58054,Doria Vanorsdale,623138,2001,Wildgoose Rd,451427221,58054,"him,) ‘I’ll give him sixpence. _I_ don’t believe there’s an atom of
"
250,90034,Jaclyn Zibert,845320,2337,E Grant Rd,329477177,90034,"about in the wood, ‘is to grow to my right size again; and the second
"
251,44821,Rigoberto Olcus,917650,1573,Dan Patch St,112822004,44821,"Still she went on growing, and, as a last resource, she put one arm out
"
252,20540,Cesar Rardon,144356,33,Morehouse Rd,220241152,20540,"
"
253,99187,Lucila Netto,168965,1462,Harp Meadow Way,274295801,99187,"         CHORUS.
"
